CustomerID,Country,State,City,Lat Long,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,CLTV,Churn Reason,Cluster,Segment
2372-HWUHI,United States,California,Lakewood,"33.840524, -118.148403",Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,81.25,Yes,1,2570,Don't know,1,At-Risk New
0390-DCFDQ,United States,California,Los Alamitos,"33.79499, -118.065591",Female,Yes,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,Yes,1,3964,Don't know,1,At-Risk New
4080-OGPJL,United States,California,San Pedro,"33.736387, -118.284363",Female,No,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,563.65,Yes,1,2662,Don't know,1,At-Risk New
2135-RXIHG,United States,California,Carson,"33.822295, -118.26411",Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,Yes,1,2600,Poor expertise of online support,1,At-Risk New
3874-EQOEP,United States,California,Long Beach,"33.783047, -118.1486",Male,No,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,655.5,Yes,1,2786,Poor expertise of phone support,1,At-Risk New
0867-MKZVY,United States,California,Altadena,"34.196837, -118.142236",Female,No,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4,1592.35,Yes,1,5719,Price too high,0,Budget Customers
3376-BMGFE,United States,California,Monrovia,"34.1528, -118.000482",Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273.0,Yes,1,4287,Product dissatisfaction,1,At-Risk New
3445-HXXGF,United States,California,Sierra Madre,"34.168686, -118.057505",Male,Yes,Yes,No,58,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,2651.2,Yes,1,5444,Service dissatisfaction,0,Budget Customers
1875-QIVME,United States,California,Tujunga,"34.296574, -118.244839",Female,No,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,Yes,1,4690,Lack of self-service on Website,1,At-Risk New
0691-JVSYA,United States,California,Pasadena,"34.167465, -118.165327",Female,No,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,Yes,1,4328,Network reliability,2,Loyal High-Value
2656-FMOKZ,United States,California,Pasadena,"34.139402, -118.128658",Female,Yes,No,Yes,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.45,1145.7,Yes,1,5717,Limited range of services,0,Budget Customers
2070-FNEXE,United States,California,Pasadena,"34.159007, -118.087353",Female,Yes,No,Yes,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,503.6,Yes,1,4419,Lack of affordable download/upload speed,1,At-Risk New
6317-YPKDH,United States,California,Glendale,"34.167926, -118.267539",Female,No,No,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95,Yes,1,4534,Long distance charges,0,Budget Customers
9367-WXLCH,United States,California,Glendale,"34.136306, -118.26036",Male,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.5,662.65,Yes,1,2152,Extra data charges,1,At-Risk New
1918-ZBFQJ,United States,California,Glendale,"34.162515, -118.203869",Female,No,No,Yes,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.25,1111.65,Yes,1,5142,Price too high,0,Budget Customers
1024-GUALD,United States,California,Glendale,"34.182378, -118.262922",Female,No,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,Yes,1,4851,Product dissatisfaction,0,Budget Customers
2472-OVKUP,United States,California,Canoga Park,"34.224377, -118.632656",Male,No,Yes,Yes,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91.0,531.0,Yes,1,2283,Service dissatisfaction,1,At-Risk New
1285-OKIPP,United States,California,Mission Hills,"34.266389, -118.459744",Male,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9,79.9,Yes,1,3394,Lack of self-service on Website,1,At-Risk New
7825-ECJRF,United States,California,Santa Clarita,"34.502432, -118.41459",Female,No,No,Yes,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45,Yes,1,3764,Network reliability,1,At-Risk New
7841-TZDMQ,United States,California,Sun Valley,"34.231053, -118.338307",Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46.0,84.5,Yes,1,2667,Don't know,1,At-Risk New
9408-SSNVZ,United States,California,Stevenson Ranch,"34.364153, -118.615583",Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,268.35,Yes,1,2227,Don't know,1,At-Risk New
0742-MOABM,United States,California,Panorama City,"34.223768, -118.445461",Male,No,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,179.35,Yes,1,3394,Don't know,1,At-Risk New
2232-DMLXU,United States,California,Van Nuys,"34.17847, -118.459472",Female,No,Yes,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.2,55.2,Yes,1,3638,Poor expertise of online support,1,At-Risk New
8937-RDTHP,United States,California,Burbank,"34.213049, -118.317651",Male,No,No,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.6,84.6,Yes,1,2484,Poor expertise of phone support,1,At-Risk New
1251-KRREG,United States,California,North Hollywood,"34.1692, -118.372498",Male,No,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.4,114.1,Yes,1,2556,Price too high,1,At-Risk New
0094-OIFMO,United States,California,North Hollywood,"34.207295, -118.400022",Female,Yes,No,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,Yes,1,5980,Product dissatisfaction,0,Budget Customers
9947-OTFQU,United States,California,Covina,"34.097345, -117.906736",Male,Yes,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,1074.3,Yes,1,4616,Service dissatisfaction,0,Budget Customers
0322-YINQP,United States,California,Covina,"34.084747, -117.886844",Male,No,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.55,48.55,Yes,1,5687,Lack of self-service on Website,0,Budget Customers
4629-NRXKX,United States,California,El Monte,"34.079934, -118.046695",Female,No,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.4,147.15,Yes,1,5687,Network reliability,0,Budget Customers
9514-JDSKI,United States,California,El Monte,"34.074492, -118.01462",Male,Yes,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,40.2,40.2,Yes,1,5828,Limited range of services,0,Budget Customers
4959-JOSRX,United States,California,La Puente,"34.031441, -117.936436",Female,No,Yes,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.6,80.55,Yes,1,4884,Lack of affordable download/upload speed,0,Budget Customers
7273-TEFQD,United States,California,La Puente,"34.038983, -117.991372",Male,Yes,No,No,3,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,132.2,Yes,1,2314,Long distance charges,1,At-Risk New
3606-TWKGI,United States,California,Rowland Heights,"33.976753, -117.897367",Male,Yes,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3,Yes,1,2494,Extra data charges,1,At-Risk New
6323-AYBRX,United States,California,Ontario,"34.057256, -117.667677",Male,No,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.35,1099.6,Yes,1,5084,Price too high,0,Budget Customers
4385-GZQXV,United States,California,Ontario,"34.074087, -117.605618",Female,Yes,No,No,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2,Yes,1,3810,Product dissatisfaction,1,At-Risk New
6366-ZGQGL,United States,California,Pomona,"34.042286, -117.756106",Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.8,24.8,Yes,1,5087,Service dissatisfaction,0,Budget Customers
5940-AHUHD,United States,California,Pomona,"34.067932, -117.785168",Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.6,70.6,Yes,1,3338,Lack of self-service on Website,1,At-Risk New
6432-TWQLB,United States,California,Rosemead,"34.065108, -118.082791",Male,No,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.4,401.1,Yes,1,3676,Network reliability,1,At-Risk New
4484-GLZOU,United States,California,San Dimas,"34.102119, -117.815532",Female,No,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.05,5624.85,Yes,1,4839,Don't know,2,Loyal High-Value
9512-UIBFX,United States,California,West Covina,"34.061634, -117.893169",Male,No,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,95.15,1779.95,Yes,1,4643,Don't know,1,At-Risk New
5583-SXDAG,United States,California,Alhambra,"34.074736, -118.145959",Male,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.0,70.0,Yes,1,4094,Don't know,1,At-Risk New
3488-PGMQJ,United States,California,Alpine,"32.827184, -116.703729",Male,Yes,No,No,8,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,606.55,Yes,1,4345,Poor expertise of online support,1,At-Risk New
3580-REOAC,United States,California,Bonita,"32.67117, -117.00232",Male,No,No,No,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.85,435.4,Yes,1,4061,Poor expertise of phone support,1,At-Risk New
7534-BFESC,United States,California,Boulevard,"32.677097, -116.304991",Male,Yes,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,1712.7,Yes,1,2018,Price too high,1,At-Risk New
6390-DSAZX,United States,California,Guatay,"32.857946, -116.561917",Female,No,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.6,73.6,Yes,1,2565,Product dissatisfaction,1,At-Risk New
8098-LLAZX,United States,California,Jacumba,"32.649787, -116.2237",Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,396.1,Yes,1,3677,Service dissatisfaction,1,At-Risk New
0265-EDXBD,United States,California,Mount Laguna,"32.830852, -116.444601",Male,Yes,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,2303.35,Yes,1,4105,Lack of self-service on Website,1,At-Risk New
7563-BIUPC,United States,California,Borrego Springs,"33.200369, -116.192313",Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.6,415.55,Yes,1,5715,Network reliability,0,Budget Customers
2321-OMBXY,United States,California,Carlsbad,"33.098018, -117.258203",Female,No,Yes,No,38,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),80.3,3058.65,Yes,1,2071,Limited range of services,1,At-Risk New
2840-XANRC,United States,California,Del Mar,"32.948262, -117.256086",Male,Yes,Yes,No,24,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.15,2231.05,Yes,1,2212,Lack of affordable download/upload speed,1,At-Risk New
5020-ZSTTY,United States,California,El Cajon,"32.79697, -116.969082",Female,Yes,No,No,54,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),82.45,4350.1,Yes,1,4149,Long distance charges,2,Loyal High-Value
5804-LEPIM,United States,California,Escondido,"33.079834, -117.134275",Female,Yes,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.35,139.05,Yes,1,2671,Extra data charges,1,At-Risk New
0122-OAHPZ,United States,California,Oceanside,"33.254497, -117.285879",Female,No,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,511.25,Yes,1,2473,Price too high,1,At-Risk New
2868-SNELZ,United States,California,Pala,"33.384345, -117.072619",Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,80.6,155.8,Yes,1,2683,Product dissatisfaction,1,At-Risk New
4322-RCYMT,United States,California,Palomar Mountain,"33.309852, -116.823091",Male,No,Yes,No,68,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),75.8,5293.95,Yes,1,4903,Service dissatisfaction,2,Loyal High-Value
6680-NENYN,United States,California,Pauma Valley,"33.313828, -116.940501",Female,No,No,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,104.6,4759.85,Yes,1,5250,Lack of self-service on Website,2,Loyal High-Value
1343-EHPYB,United States,California,Ranchita,"33.215251, -116.53633",Male,No,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.4,6603.0,Yes,1,4352,Network reliability,2,Loyal High-Value
2034-GDRCN,United States,California,Valley Center,"33.25283, -116.986079",Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,Yes,1,4157,Don't know,1,At-Risk New
0219-YTZUE,United States,California,San Diego,"32.747484, -117.166877",Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.8,371.9,Yes,1,4939,Don't know,0,Budget Customers
0623-IIHUG,United States,California,San Diego,"32.741499, -117.127409",Female,Yes,No,No,21,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,41.9,840.1,Yes,1,4778,Don't know,0,Budget Customers
4572-DVCGN,United States,California,San Diego,"32.741859, -117.090353",Female,No,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.25,846.0,Yes,1,3598,Poor expertise of online support,1,At-Risk New
9057-MSWCO,United States,California,San Diego,"32.774046, -117.142454",Male,Yes,Yes,No,27,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),30.75,805.1,Yes,1,2927,Poor expertise of phone support,1,At-Risk New
1010-DIAUQ,United States,California,San Diego,"32.765299, -117.122565",Male,No,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),96.5,492.55,Yes,1,5383,Price too high,0,Budget Customers
0259-GBZSH,United States,California,San Diego,"32.85723, -117.209774",Male,No,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.65,181.5,Yes,1,3878,Product dissatisfaction,1,At-Risk New
9601-BRXPO,United States,California,San Diego,"32.961064, -117.134917",Female,No,Yes,No,25,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.95,2566.5,Yes,1,3642,Service dissatisfaction,1,At-Risk New
6905-NIQIN,United States,California,San Diego,"32.578103, -117.012975",Male,No,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,50.65,50.65,Yes,1,2431,Don't know,1,At-Risk New
5167-ZFFMM,United States,California,Indio,"33.713891, -116.237257",Male,No,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.85,90.85,Yes,1,3424,Network reliability,1,At-Risk New
4895-TMWIR,United States,California,Indian Wells,"33.537646, -116.291089",Male,Yes,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,214.75,Yes,1,5888,Limited range of services,0,Budget Customers
0533-BNWKF,United States,California,Palm Desert,"33.762759, -116.324817",Female,Yes,Yes,No,55,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.45,4874.7,Yes,1,5502,Lack of affordable download/upload speed,2,Loyal High-Value
6599-CEBNN,United States,California,Desert Hot Springs,"33.948558, -116.516976",Female,No,No,No,34,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.95,2524.45,Yes,1,5795,Long distance charges,0,Budget Customers
0979-PHULV,United States,California,Holtville,"32.811001, -115.152865",Male,No,Yes,No,69,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.45,7007.6,Yes,1,4020,Extra data charges,2,Loyal High-Value
4800-VHZKI,United States,California,Niland,"33.345825, -115.596574",Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.9,19.9,Yes,1,3351,Price too high,1,At-Risk New
7989-CHGTL,United States,California,North Palm Springs,"33.906496, -116.569499",Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.6,19.6,Yes,1,3448,Product dissatisfaction,1,At-Risk New
0334-GDDSO,United States,California,Ocotillo,"32.698964, -115.886656",Male,Yes,No,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,81.35,233.7,Yes,1,2818,Service dissatisfaction,1,At-Risk New
0578-SKVMF,United States,California,Seeley,"32.790282, -115.689559",Female,No,Yes,No,22,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,83.3,1845.9,Yes,1,3804,Lack of self-service on Website,1,At-Risk New
